PlantID,AncestorId,Symbol,ScientificName,CommonName,RankId,Rank
55766,55636,AMARAN,Amaranthaceae Martinov,Amaranth family,100,Family
55766,55711,AMARA,Amaranthus L.,pigweed,140,Genus
55766,55766,AMHY,Amaranthus hybridus L.,slim amaranth,180,Species
55783,7168,Plantae,Plantae,Plants,10,Kingdom
55783,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
55783,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
55783,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
55783,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
55783,55564,Caryophyllidae,Caryophyllidae,,70,Subclass
55783,55565,Caryophyllales,Caryophyllales,,80,Order
55783,55636,AMARAN,Amaranthaceae Martinov,Amaranth family,100,Family
55783,55711,AMARA,Amaranthus L.,pigweed,140,Genus
55783,55783,AMPO2,Amaranthus powellii S. Watson,Powell's amaranth,180,Species
55792,7168,Plantae,Plantae,Plants,10,Kingdom
55792,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
55792,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
55792,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
55792,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
55792,55564,Caryophyllidae,Caryophyllidae,,70,Subclass
55792,55565,Caryophyllales,Caryophyllales,,80,Order
55792,55636,AMARAN,Amaranthaceae Martinov,Amaranth family,100,Family
55792,55711,AMARA,Amaranthus L.,pigweed,140,Genus
55792,55792,AMRE,Amaranthus retroflexus L.,redroot amaranth,180,Species
55795,7168,Plantae,Plantae,Plants,10,Kingdom
55795,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
55795,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
55795,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
55795,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
55795,55564,Caryophyllidae,Caryophyllidae,,70,Subclass
55795,55565,Caryophyllales,Caryophyllales,,80,Order
55795,55636,AMARAN,Amaranthaceae Martinov,Amaranth family,100,Family
55795,55711,AMARA,Amaranthus L.,pigweed,140,Genus
55795,55795,AMSP,Amaranthus spinosus L.,spiny amaranth,180,Species
55820,7168,Plantae,Plantae,Plants,10,Kingdom
55820,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
55820,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
55820,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
55820,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
55820,55564,Caryophyllidae,Caryophyllidae,,70,Subclass
55820,55565,Caryophyllales,Caryophyllales,,80,Order
55820,55636,AMARAN,Amaranthaceae Martinov,Amaranth family,100,Family
55820,55711,AMARA,Amaranthus L.,pigweed,140,Genus
55820,55820,AMVI,Amaranthus viridis L.,slender amaranth,180,Species
31510,7168,Plantae,Plantae,Plants,10,Kingdom
31510,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31510,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31510,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31510,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31510,31160,Asteridae,Asteridae,,70,Subclass
31510,31161,Asterales,Asterales,,80,Order
31510,31162,ASTERA,Asteraceae Bercht. & J. Presl,Aster family,100,Family
31510,31470,AMBRO,Ambrosia L.,ragweed,140,Genus
31510,31510,AMHE3,Ambrosia ×helenae Rouleau [artemisiifolia × trifida],ragweed,180,Species
31518,7168,Plantae,Plantae,Plants,10,Kingdom
31518,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31518,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31518,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31518,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31518,31160,Asteridae,Asteridae,,70,Subclass
31518,31161,Asterales,Asterales,,80,Order
31518,31162,ASTERA,Asteraceae Bercht. & J. Presl,Aster family,100,Family
31518,31470,AMBRO,Ambrosia L.,ragweed,140,Genus
31518,31518,AMPS,Ambrosia psilostachya DC.,Cuman ragweed,180,Species
31476,7168,Plantae,Plantae,Plants,10,Kingdom
31476,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31476,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31476,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31476,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31476,31160,Asteridae,Asteridae,,70,Subclass
