PlantID,Region,Status,Type
57816,L48,N,Native
92155,AK,N,Native
92155,CAN,N,Native
92155,L48,N,Native
51695,CAN,N,Native
51695,L48,N,Native
14568,CAN,N,Native
14568,L48,N,Native
24604,CAN,N,Native
24604,L48,N,Native
52019,L48,N,Native
14559,CAN,N,Native
14559,L48,N,Native
52048,CAN,N,Native
52048,L48,N,Native
51850,L48,N,Native
52012,CAN,N,Native
52012,L48,N,Native
52182,CAN,I,Introduced
52182,L48,N,Native
74418,L48,N,Native
53556,AK,N,Native
53556,CAN,N,Native
53556,L48,N,Native
38793,AK,N,Native
38793,CAN,N,Native
38793,L48,N,Native
53722,CAN,N,Native
53722,L48,N,Native
81853,L48,N,Native
81853,PR,N,Native
14703,AK,N,Native
14703,CAN,N,Native
14703,GL,N,Native
14703,L48,N,Native
14703,SPM,N,Native
14708,CAN,N,Native
14708,L48,N,Native
54573,L48,N,Native
54696,CAN,I,Introduced
54696,L48,N,Native
54617,CAN,I,Introduced
54617,L48,N,Native
54717,L48,N,Native
54725,CAN,I,Introduced
54725,L48,N,Native
47241,CAN,N,Native
47241,L48,N,Native
55274,CAN,N,Native
55274,L48,N,Native
55299,CAN,I,Introduced
55299,L48,N,Native
55299,PR,N,Native
55299,VI,N,Native
54727,CAN,N,Native
54727,L48,N,Native
24711,CAN,N,Native
24711,L48,N,Native
47219,CAN,N,Native
47219,L48,N,Native
55243,L48,N,Native
55258,CAN,N,Native
55258,L48,N,Native
46245,CAN,N,Native
46245,L48,N,Native
55314,CAN,N,Native
55314,L48,N,Native
90186,CAN,N,Native
90186,L48,N,Native
38855,AK,N,Native
38855,CAN,I,Introduced
38855,HI,I,Introduced
38855,L48,I,Introduced
38855,L48,N,Native
71095,CAN,N,Native
71095,L48,N,Native
71108,HI,I,Introduced
71108,L48,N,Native
71108,PB,I,Introduced
71108,PR,N,Native
71108,VI,N,Native
49604,AK,N,Native
49604,CAN,N,Native
49604,GL,N,Native
49604,L48,N,Native
49604,SPM,N,Native
71119,CAN,N,Native
71119,L48,N,Native
24750,CAN,N,Native
24750,L48,N,Native
47413,CAN,I,Introduced
47413,HI,I,Introduced
47413,L48,N,Native
30377,AK,N,Native
30377,CAN,N,Native
30377,L48,N,Native
24790,CAN,N,Native
24790,L48,N,Native
24762,CAN,N,Native
24762,L48,N,Native
45320,AK,I,Introduced
45320,CAN,N,Native
45320,L48,N,Native
47437,CAN,N,Native
47437,L48,N,Native
47531,CAN,I,Introduced
47531,L48,N,Native
30384,CAN,N,Native
30384,L48,N,Native
30420,CAN,N,Native
30420,L48,N,Native
47538,CAN,I,Introduced
47538,L48,N,Native
30507,AK,N,Native
30507,CAN,N,Native
30507,L48,N,Native
30389,AK,N,Native
30389,CAN,N,Native
30389,L48,N,Native
30389,SPM,N,Native
30548,CAN,N,Native
30548,L48,N,Native
30461,CAN,N,Native
30461,L48,N,Native
30461,SPM,N,Native
30449,CAN,N,Native
30449,L48,N,Native
30399,CAN,N,Native
30399,L48,N,Native
30399,SPM,N,Native
30477,AK,N,Native
30477,CAN,N,Native
30477,L48,N,Native
30494,CAN,N,Native
30494,L48,N,Native
30494,SPM,N,Native
30432,AK,N,Native
30432,CAN,N,Native
30432,L48,N,Native
30432,SPM,N,Native
30423,CAN,N,Native
30423,L48,N,Native
30423,SPM,N,Native
30516,AK,N,Native
30516,CAN,N,Native
30516,L48,N,Native
30516,SPM,N,Native
30469,CAN,N,Native
30469,L48,N,Native
30503,CAN,N,Native
30503,L48,N,Native
30497,CAN,N,Native
30497,L48,N,Native
30523,AK,N,Native
30523,CAN,N,Native
30523,L48,N,Native
30523,SPM,N,Native
30535,CAN,N,Native
30535,L48,N,Native
30535,SPM,N,Native
38968,CAN,I,Introduced
38968,L48,N,Native
38968,NAV,N,Native
38968,PB,I,Introduced
38968,PR,N,Native
38968,VI,N,Native
25004,AK,I,Introduced
25004,AK,N,Native
25004,CAN,I,Introduced
25004,CAN,N,Native
25004,GL,I,Introduced
25004,L48,I,Introduced
25004,L48,N,Native
25004,SPM,I,Introduced
24856,CAN,N,Native
24856,L48,N,Native
24856,SPM,N,Native
24887,CAN,N,Native
24887,L48,N,Native
25005,AK,N,Native
25005,CAN,N,Native
25005,L48,N,Native
72389,CAN,N,Native
72389,L48,N,Native
25014,L48,N,Native
64392,CAN,N,Native
64392,L48,N,Native
25058,CAN,N,Native
